a	một
manipulate	vận dụng
manner	cách, lối, kiểu, dáng, vẻ, thái độ
mansion	biệt thự
manual	sổ tay
manufacturer	người chế tạo, người sản xuất
manufacturing	sự sản xuất, sự chế tạo
many	nhiều
map	bản đồ
marble	đá hoa
march	diễu hành, hành quân, cuộc hành quân, cuộc diễu hành
margin	lề
marine	biển
mark	dấu, nhãn, nhãn mác, đánh dấu, ghi dấu
marker	đánh dấu
market	chợ, thị trường
marketing	ma-kết-tinh
marketplace	thương trường
marriage	sự cưới xin, sự kết hôn, lễ cưới
married	cưới, kết hôn
marry	cưới
mask	mặt nạ
mass	khối, khối lượng, quần chúng, đại chúng
massive	to lớn, đồ sộ
master	chủ, chủ nhân, thầy giáo, thạc sĩ
match	trận thi đấu, đối thủ, địch thủ, đối chọi, sánh được
matching	tính địch thù, thi đấu
mate	bạn, bạn nghề, giao phối
material	nguyên vật liệu, vật chất, hữu hình
math	môn toán
mathematics	toán học, môn toán
matter	chất, vật chất, có ý nghĩa, có tính chất quan trọng
maximum	cực độ, tối đa, trị số cực đại, lượng cực đại, cực độ
may	tháng 5
may modal	có thể, có lẽ
maybe	có thể, có lẽ
mayor	thị trưởng
me	tôi, tao, tớ
meal	bữa ăn
mean	nghĩa, có nghĩa là
meaning	ý, ý nghĩa
meaningful	có ý nghĩa
means	của cải, tài sản, phương tiện
meantime	thời gian chờ đợi
meanwhile	trong lúc đó, trong lúc ấy
measure	đo, đo lường, sự đo lường, đơn vị đo lường
measurement	sự đo lường, phép đo
meat	thịt
mechanic	thợ cơ khí
mechanical	cơ khí
mechanism	cơ chế
medal	huy chương
media	phương tiện truyền thông đại chúng
medical	y học
medication	thuốc men
medicine	y học, y khoa, thuốc
medium	trung bình, trung, vừa, sự trung gian, sự môi giới
meet	gặp, gặp gỡ
meeting	cuộc mít tinh, cuộc biểu tình
melt	tan ra, chảy ra, làm tan chảy ra
member	thành viên, hội viên
membership	tư cách hội viên, địa vị hội viên
memory	bộ nhớ, trí nhớ, kỉ niệm
mental	trí tuệ, trí óc, mất trí
mentally	về mặt tinh thần
mention	kể ra, nói đến, đề cập
mentor	người cố vấn
menu	thực đơn
merchant	thương gia
mere	chỉ là
merely	chỉ, đơn thuần
merit	n  Xứng đáng
mess	tình trạng bừa bộn, tình trạng lộn xộn, người nhếch nhác, bẩn thỉu
message	tin nhắn, thư tín, điện thông báo, thông điệp
metal	kim loại
metaphor	phép ẩn dụ
meter	mét
method	phương pháp, cách thức
metre	mét
metropolitan	đô thị
mexican	mexico
mid- combining form	tiền tố: một nửa
midday	trưa, buổi trưa
middle	giữa, ở giữa
middle-class	tầng lớp trung lưu
midnight	nửa đêm, 12h đêm
midst	giữa
might	có thể
might modal	qk. may có thể, có lẽ
migration	di cư
mild	nhẹ, êm dịu, ôn hòa
mile	dặm
military	quân đội, quân sự
milk	sữa
mill	cối xay
milligram	mi-li-gam
millimetre	mi-li-met
million	triệu
mind	tâm trí, tinh thần, trí tuệ, chú ý, để ý, chăm sóc, quan tâm
mine	của tôi
mineral	công nhân, thợ mỏ, khoáng
minimal	tối thiểu
minimize	giảm thiểu
minimum	tối thiểu, số lượng tối thiểu, mức tối thiểu
minister	bộ trưởng
ministry	bộ
minor	nhỏ hơn, thứ yếu, không quan trọng
minority	phần ít, thiểu số
minute	phút
miracle	phép màu
mirror	gương
miss	cô gái, thiếu nữ
missile	tên lửa
missing	vắng, thiếu, thất lạc
mission	sứ mệnh
missionary	nhà truyền giáo
mistake	lỗi, sai lầm, lỗi lầm, phạm lỗi, phạm sai lầm
mistaken	sai lầm, hiểu lầm
mix	pha, trộn lẫn, sự pha trộn
mixed	lẫn lộn, pha trộn
mixture	sự pha trộn, sự hỗn hợp
mm-hmm	mm-hmm
mobile	chuyển động, di động
mobile phone	điện thoại đi động
mode	chế độ
model	mẫu, kiểu mẫu
moderate	vừa phải
modern	hiện đại, tân tiến
modest	khiêm tốn
modify	sửa đổi
molecule	phân tử
mom	mẹ
moment	chốc, lát
momentum	Đà
monday	thứ 2
money	tiền
monitor	lớp trưởng, màn hình máy tính, nghe, ghi phát thanh, giám sát
monkey	con khỉ
monster	quái vật
month	tháng
monthly	hàng tháng
monument	tượng đài
mood	lối, thức, điệu
moon	mặt trăng
moral	đạo đức, luân lý, phẩm hạnh, có đạo đứcmorally adv. có đạo đức
more	hơn, nhiều hơn
moreover	hơn nữa, ngoài ra, vả lại
morning	buổi sáng
mortality	tử vong
mortgage	thế chấp
most	lớn nhất, nhiều nhất, nhất, hơn cả
mostly	hầu hết, chủ yếu là
mother	mẹ
motion	sự chuyển động, sụ di động
motivate	động viên
motivation	động lực
motive	động cơ
motor	động cơ mô tô
motorcycle	xe mô tô
mount	leo, trèo, núi
mountain	núi
mouse	chuột
mouth	miệng
move	di chuyển, chuyển động, sự di chuyển, sự chuyển động
movement	sự chuyển động, sự hoạt động, cử động, động tác
movie	phim xi nê
movie theater	rạp chiếu phim
moving	động, hoạt động
mr	Ông
mrs	bà
ms	cô
much	nhiều, lắm
mud	bùn
multiple	nhiều
multiply	nhân lên, làm tăng lên nhiều lần, sinh sôi nảy nở
mum	mẹ
municipal	thành phố
murder	tội giết người, tội ám sát, giết người, ám sát
muscle	cơ, bắp thịt
museum	bảo tàng
mushroom	nấm
music	nhạc, âm nhạc
musical	nhạc, âm nhạc, du dương, êm ái
musician	nhạc sĩ
muslim	hồi giáo
must	phải
must modal	phải, cần, nên làm
mutter	lẩm bẩm
mutual	lẫn nhau
my	của tôi
myself	tự tôi, chính tôi
mysterious	thần bí, huyền bí, khó hiểu
mystery	điều huyền bí, điều thần bí
myth	huyền thoại
n't	không
nail	móng  móng vuốt
naked	trần, khỏa thân, trơ trụi
name	tên, đặt tên, gọi tên
narrative	tường thuật
narrow	hẹp, chật hẹp
nasty	bẩn thỉu
nation	dân tộc, quốc gia
national	quốc gia, dân tộc
nationwide	toàn quốc
native	tự nhiên
natural	tự nhiên, thiên nhiên
naturally	vốn, tự nhiên, đương nhiên
nature	tự nhiên, thiên nhiên
naval	hải quân
navy	hải quân
near	gần, cận, ở gần
nearby	gần
nearly	gần, sắp, suýt
neat	sạch, ngăn nắp, rành mạch
neatly	gọn gàng, ngăn nắp
necessarily	tất yếu, nhất thiết
necessary	cần, cần thiết, thiết yếu
necessity	sự cần thiết
neck	cổ
need	nhu cầu
need modal	cần, đòi hỏi, sự cần
needle	cái kim, mũi nhọn
negative	phủ định
negotiate	đàm phán
negotiation	đàm phán
neighbor	hàng xóm
neighborhood	khu vực lân cận
neighboring	lân cận
neighbour	hàng xóm
neighbourhood	hàng xóm, làng giềng
neither	không này mà cũng không kia
nephew	cháu trai
nerve	khí lực, thần kinh, can đảm
nervous	hoảng sợ, dễ bị kích thích, hay lo lắng
nervously	bồn chồn, lo lắng
nest	tổ, ổ, làm tổ
net	lưới, mạng
network	mạng lưới, hệ thống
neutral	trung tính
never	không bao giờ, không khi nào
nevertheless	tuy nhiên, tuy thế mà
new	mới, mới mẻ, mới lạ
newly	mới
news	tin, tin tức
newspaper	báo
next	sát, gần, bên cạnh, lần sau, tiếp nữa
next to	gần
nice	đẹp, thú vị, dễ chịu
nicely	thú vị, dễ chịu
niece	cháu gái
night	đêm, tối
nightmare	ác mộng
nine	chín
no	không
no exclamation,	không
nobody	không ai, không người nào
nod	gật đầu
noise	tiếng ồn, sự huyên náo
noisily	ồn ào, huyên náo
noisy	ồn ào, huyên náo
nomination	đề cử
nominee	ứng cử viên
none	không ai, không người, vật gì
nonetheless	dù sao
nonprofit	phi lợi nhuận
nonsense	lời nói vô lý, vô nghĩa
noon	trưa
nor	cũng không
norm	định mức
normal	thường, bình thường, tình trạng bình thường
normally	thông thường, như thường lệ
north	phía bắc, phương bắc
northeast	đông bắc
northern	bắc
northwest	tây bắc
nose	mũi
not	không
note	lời ghi, lời ghi chép, ghi chú, ghi chép
notebook	sổ tay
nothing	không gì, không cái gì
notice	thông báo, yết thị, chú ý, để ý, nhận biết
noticeable	đáng chú ý, đáng để ý
notion	khái niệm
novel	tiểu thuyết, truyện
november	tháng 11
now	bây giờ, hiện giờ, hiện nay
nowhere	không nơi nào, không ở đâu
nuclear	hạt nhân
number	số
numerous	nhiều
nurse	quả hạch, đầu
nut	hạt
nutrient	chất dinh dưỡng
o'clock	giờ
oak	cây sồi
obey	vâng lời, tuân theo, tuân lệnh
object	vật, vật thể, phản đối, chống lại
objection	sự phản đối
objective	mục tiêu, mục đích,  mục tiêu, khách quan
obligation	nghĩa vụ
observation	sự quan sát, sự theo dõi
observe	quan sát, theo dõi
observer	người quan sát
obstacle	trở ngại
obtain	đạt được, giành được
obvious	rõ ràng, rành mạch, hiển nhiên
obviously	một cách rõ ràng, có thể thấy được
occasion	dịp, cơ hội
occasional	thỉnh thoảng
occasionally	thỉnh thoảng, đôi khi
occupation	nghề nghiệp
occupied	đang sử dụng, đầy
occupy	giữ, chiếm lĩnh, chiếm giữ
occur	xảy ra, xảy đến, xuất hiện
ocean	đại dương
odd	kỳ quặc, kỳ cục, lẻ
oddly	kỳ quặc, kỳ cục, lẻ
odds	tỷ lệ
of	của
of course	dĩ nhiên
off	tắt, khỏi, cách, rời
offence	sự vi phạm, sự phạm tội
offend	xúc phạm, làm bực mình, làm khó chịu
offender	tội phạm
offense	xúc phạm
offensive	sự tấn công, cuộc tấn công
offer	biếu, tặng, cho, sự trả giá
offering	chào bán
office	cơ quan, văn phòng, bộ
officer	viên chức, cảnh sát, sĩ quan
official	chính quyền, văn phòng, viên chức, công chức
officially	một cách trịnh trọng, một cách chính thức
often	thường, hay, luôn
oh	oh
oh exclamation	chao, ôi chao, chà, này..
oil	dầu
ok	được
ok  exclamation,	đồng ý, tán thành
okay	đuợc
old	già
old-fashioned	lỗi thời
olympic	olympic
olympics	thế vận hội
on	trên, ở trên, tiếp tục, tiếp diễn
on behalf of sb	thay mặt cho ai, nhân danh ai
on board	trên tàu thủy
on purpose	cố tình, cố ý, có chủ tâm
on sb’s behalf	nhân danh cá nhân ai
once	một lần, khi mà, ngay khi, một khi
one	một
one number,	một, một người, một vật nào đó
one-third	một phần ba
ongoing	đang diễn ra
onion	củ hành
online	trực tuyến
only	chỉ có 1, duy nhất, chỉ, mới
onto	về phía trên, lên trên
open	mở, ngỏ, mở, bắt đầu, khai mạc
opening	khe hở, lỗ, sự bắt đầu, sự khai mạc, lễ khánh thành
openly	công khai, thẳng thắn
opera	opera
operate	hoạt động, điều khiển
operating	điều hành
operation	sự hoạt động, quá trình hoạt động
operator	nhà điều hành
opinion	ý kiến, quan điểm
opponent	địch thủ, đối thủ, kẻ thù
opportunity	cơ hội, thời cơ
oppose	đối kháng, đối chọi, đối lập, chống đối, phản đối
opposed	phản đối
opposed to	chống lại, phản đối
opposing	tính đối kháng, đối chọi
opposite	đối nhau, ngược nhau, trước mặt, đối diện, điều
opposition	sự đối lập, sự đối nhau, sự chống lại, sự phản đối, phe đối
opt	opt
optimistic	lạc quan
option	sự lựa chọn
or	hoặc là
oral	miệng
orange	quả cam, có màu da cam
orbit	quỹ đạo
order	thứ, bậc, ra lệnh
ordinary	thường, thông thường
organ	đàn óoc gan
organic	hữu cơ
organism	cơ thể
organization	tổ chức, cơ quan, sự tổ chức
organizational	tổ chức
organize	tổ chức, thiết lập
organized	có trật tự, ngăn nắp, được sắp xếp, được tổ chức
orientation	sự định hướng
origin	gốc, nguồn gốc, căn nguyên
original	gốc, nguồn gốc, căn nguyên, nguyên bản
originally	một cách sáng tạo, mới mẻ, độc đáo, khởi đầu, đầu tiên
other	khác
others	khác
otherwise	khác, cách khác, nếu không thì..., mặt khác
ought	nên
ought to modal	phải, nên, hẳn là
our	của chúng ta, thuộc chúng ta, của chúng tôi, của chúng mình
ours	của chúng ta, thuộc chúng ta, của chúng tôi, của chúng mình
ourselves	bản thân chúng ta, bản thân chúng tôi, bản thân chúng mình, tự chúng mình
out	ngoài, ở ngoài, ra ngoài
outcome	kết quả
outdoor	ngoài trời, ở ngoài
outdoors	ở ngoài trời, ở ngoài nhà
outer	ở phía ngoài, ở xa hơn
outfit	trang phục
outlet	đầu ra
outline	vẽ, phác tảo, đường nét, hình dáng, nét ngoài
output	sự sản xuất, sản phẩm, sản lượng
outside	bề ngoài, bên ngoài, ở ngoài, ngoài
outsider	người ngoài
outstanding	nổi bật, đáng chú ý, còn tồn lại
oven	lò
over	bên trên, vượt qua, lên, lên trên
overall	toàn bộ, toàn thể, tất cả, bao gồm
overcome	thắng, chiến thắng, khắc phục, đánh bại
overlook	bỏ qua
overnight	qua đêm
oversee	giám sát
overwhelm	quá tải
overwhelming	áp đảo
owe	nợ, hàm ơn, có được
own	của chính mình, tự mình, nhận, nhìn nhận
owner	người chủ, chủ nhân
ownership	sở hữu
oxygen	ôxy
o’clock	đúng giờ
p.m.	quá trưa, chiều, tối
pace	bước chân, bước
pack	gói, bọc, bó, gói
package	gói đồ, bưu kiện, đóng gói, đóng kiện
packaging	bao bì
packet	gói nhỏ
pad	tập giấy
page	trang
pain	sự đau đớn, sự đau khổ
painful	đau đớn, đau khổ
paint	sơn, vôi màu, sơn, quét sơn
painter	họa sĩ
painting	sự sơn, bức họa, bức tranh
pair	đôi, cặp
palace	cung điện, lâu đài
pale	taí, nhợt
palestinian	palestine
palm	lòng bàn tay
pan	xoong, chảo
panel	ván ô , pa nô
panic	hoảng loạn
pants	quần lót, đùi
paper	giấy
parade	diễu hành
parallel	song song, tương đương
parent	cha, mẹ
parental	cha mẹ
parish	giáo xứ
park	công viên, vườn hoa, khoanh vùng thành công viên
parking	bãi đỗ xe
parliament	nghi viện, quốc hội
part	phần, bộ phận
partial	một phần
partially	một phần
participant	người tham gia
participate	tham dự
participation	sự tham gia
particle	hạt
particular	riêng biệt, cá biệt
particularly	một cách đặc biệt, cá biệt, riêng biệt
partly	đến chừng mực nào đó, phần nào đó
partner	đối tác, cộng sự
partnership	sự chung phần, sự cộng tác
party	tiệc, buổi liên hoan, đảng
pass	qua, vượt qua, ngang qua
passage	sự đi qua, sự trôi qua, hành lang
passenger	hành khách
passing	sự đi qua, sự trôi qua, thoáng qua, ngắn ngủi
passion	niềm đam mê
passport	hộ chiếu
past	quá khứ, dĩ vãng, quá, qua
pasta	mỳ ống
pastor	mục sư
pat	vỗ vỗ
patch	vá
patent	bằng sáng chế
path	đường mòn, hướng đi
patience	tính kiên nhẫn, nhẫn nại, kiên trì, sự chịu đựng
patient	bệnh nhân, kiên nhẫn, nhẫn nại, bền chí
patrol	tuần tra
patron	người bảo trợ
pattern	mẫu, khuôn mẫu
pause	tạm nghỉ, dừng, sự tạm nghỉ, sự tạm ngừng
pay	trả, thanh toán, nộp, tiền lương
payment	sự trả tiền, số tiền trả, tiền bồi thường
pc	pc
peace	hòa bình, sự hòa thuận
peaceful	hòa bình, thái bình, yên tĩnh
peak	lưỡi trai, đỉnh, chóp
peanut	đậu phụng
peasant	nông dân
peel	lột vỏ
peer	ngang nhau
pen	bút
penalty	hình phạt
pence	đồng xu
pencil	bút chì
penny	số tiền
pension	tiền trợ cấp, lương hưu
people	dân tộc, dòng giống, người
pepper	hạt tiêu, cây ớt
per	cho mỗi
per cent	phần trăm
perceive	nhận thức
perceived	lĩnh hội
percentage	phần trăm
perception	nhận thức
perfect	hoàn hảo
perfectly	một cách hoàn hảo
perform	biểu diễn, làm, thực hiện
performance	sự làm, sự thực hiện, sự thi hành, sự biểu diễn
performer	người biểu diễn, người trình diễn
perhaps	có thể, có lẽ
period	kỳ, thời kỳ, thời gian, thời đại
permanent	lâu dài, vĩnh cửu, thường xuyên
permanently	cách thường xuyên, vĩnh cửu
permission	sự cho phép, giấy phép
permit	cho phép, cho cơ hội
persian	người ba tư
persist	tồn tại
person	con người, người
personal	cá nhân, tư, riêng tư
personality	nhân cách, tính cách, nhân phẩm, cá tính
personally	đích thân, bản thân, về phần rôi, đối với tôi
personnel	nhân viên
perspective	quan điểm
persuade	thuyết phục
pet	cơn nóng giận, vật cưng, người được yêu thích
petrol	xăng dầu
phase	tuần trăng, giai đoạn, thời kỳ
phenomenon	hiện tượng
philosophical	triết học
philosophy	triết học, triết lý
phone	điện thoại
photo	hình chụp
photocopy	bản sao chụp, sao chụp
photograph	ảnh, bức ảnh, chụp ảnh
photographer	thợ chụp ảnh, nhà nhiếp ảnh
photography	thuật chụp ảnh, nghề nhiếp ảnh
phrase	câu, thành ngữ, cụm từ
physical	vật chất,  cơ thể, thân thể
physically	về thân thể, theo luật tự nhiên
physician	bác sĩ
physics	vật lý học
piano	đàn pianô, dương cầm
pick	cuốc
pick sth up	cuốc, vỡ, xé
pickup	nhặt lên
picture	bức vẽ, bức họa
pie	chiếc bánh
piece	mảnh, mẩu, đồng tiền
pig	con lợn
pile	cọc, chồng, đống, pin, đóng cọc, chất chồng
pill	viên thuốc
pillow	cái gối
pilot	phi công
pin	đinh ghim, ghim., kẹp
pine	cây thông
pink	màu hồng, hoa cẩm chướng, tình trạng tốt, hoàn hảo
pint	panh
pioneer	người tiên phong
pipe	ống dẫn
pistol	súng lục
pit	hố
pitch	sân , đầu hắc ín
pitcher	người bình
pity	lòng thương hại, điều đáng tiếc, đáng thương
pizza	pizza
place	nơi, địa điểm, quảng trường
placement	vị trí
plain	ngay thẳng, đơn giản, chất phác
plaintiff	nguyên đơn
plan	bản đồ, kế hoạch, vẽ bản đồ, lập kế hoạch, dự kiến
plane	mặt phẳng, mặt bằng
planet	hành tinh
planner	lập kế hoạch
planning	sự lập kế hoạch, sự quy hoạch
plant	thực vật, sự mọc lên, trồng, gieo
plastic	chất dẻo, làm bằng chất dẻo
plate	bản, tấm kim loại
platform	nền, bục, bệ, thềm, sân ga
play	chơi, đánh, sự vui chơi, trò chơi, trận đấu
player	người chơi 1 trò chơi nào đó
playoff	playoff
plea	lời bào chữa
plead	biện hộ
pleasant	vui vẻ, dễ thương, dịu dàng, thân mật
pleasantly	vui vẻ, dễ thương, thân mật
please	xin vui lòng
please exclamation,	làm vui lòng, vừa lòng, mong... vui lòng, xin mời
pleased	hài lòng
pleasing	mang lại niềm vui thích, dễ chịu
pleasure	niềm vui thích, điều thích thú, điều thú vị, ý muốn, ý thích
plenty	nhiều , chỉ sự thừa, sự sung túc, sự p.phú
plot	mảnh đất nhở, sơ đồ, đồ thị, đồ án, vẽ sơ đồ, dựng đồ án
plug	nút
plunge	lao xuống
plus	cộng với , dấu cộng, cộng, thêm vào
pm	pm
pocket	túi , túi tiền
poem	thi ca, chất thơ
poet	bài thơ
poetry	thơ phú
point	mũi nhọn, điểm, vót, làm nhọn, chấm
pointed	nhọn, có đầu nhọn
poison	chất độc, thuốc độc, đánh thuốc độc, tẩm thuốc độc
poisonous	độc, có chất độc, gây chết, bệnh
poke	xô
pole	người ba lan, cực
police	cảnh sát, công an
policeman	cảnh sát
policy	chính sách
polish	nước bóng, nước láng, đánh bóng, làm cho láng
polite	lễ phép, lịch sự
politely	lễ phép, lịch sự
political	về chính trị, về chính phủ, có tính chính trị
politically	về mặt chính trị, khôn ngoan, thận trọng, sảo quyệt
politician	nhà chính trị, chính khách
politics	họat động chính trị, đời sống chính trị, quan điểm chính trị
poll	thăm dò ý kiến
pollution	sự ô nhiễm
pond	ao
pool	vũng nước, bể bơi, hồ bơi
poor	nghèo
pop	tiếp bốp, phong cách dân gian hiện đại, nổ bốp
popular	có tính đại chúng,  nhân dân, được nhiều người ưa chuộng
popularity	phổ biến
population	dân cư, dân số, mật độ dân số
porch	hiên nhà
pork	thịt heo
port	cảng
portfolio	danh mục đầu tư
portion	phần
portrait	chân dung
portray	miêu tả
pose	đưa ra, đề ra, đặt, sự đặt, đề ra
position	vị trí, chỗ
positive	xác thực, rõ ràng, tích cực, lạc quan
possess	có, chiếm hữu
possession	quyền sở hữu, vật sở hữu
possibility	khă năng, triển vọng
possible	có thể, có thể thực hiện
possibly	có lẽ, có thể, có thể chấp nhận được
post	thư, bưu kiện, gửi thư
post office	bưu điện
poster	áp phích
pot	can, bình, lọ...
potato	khoai tây
potential	tiềm năng, khả năng, tiềm lực
potentially	tiềm năng, tiềm ẩn
pound	pao - đơn vị đo lường
pour	rót, đổ, giội
poverty	nghèo nàn
powder	bột, bụi
power	khả năng, tài năng, năng lực, sức mạnh, nội lực, quyền lực
powerful	hùng mạnh, hùng cường
practical	thực hành, thực tế
practically	về mặt thực hành, thực tế
practice	thực hành, thực tiễn
practise	thực hành, tập luyện
practitioner	học viên
praise	sự ca ngợi, sự tán dương, lòng tôn kính, tôn thờ, khen ngợi, tán dương
pray	cầu nguyện
prayer	sự cầu nguyện
preach	rao giảng
precious	quí
precise	rõ ràng, chính xác, tỉ mỉ, kỹ tính
precisely	đúng, chính xác, cần thận
predator	người ăn thịt
predict	báo trước, tiên đoán, dự báo
prediction	dự đoán
prefer	thích hơn
preference	sự thích hơn, sự ưa hơn, cái được ưa thích hơn
pregnancy	mang thai
pregnant	mang thai, giàu trí tưởng tượng, sáng tạo
preliminary	sơ bộ
premise	tiền đề
premises	biệt thự
premium	phí bảo hiểm
preparation	sự sửa soạn, sự chuẩn bị
prepare	sửa soạn, chuẩn bị
prepared	đã được chuẩn bị
prescription	đơn thuốc
presence	sự hiện diện, sự có mặt, người, vât hiện diện
present	có mặt, hiện diện, hiện nay, hiện thời, bày tỏ, giới thiệu, trình bày
presentation	bài thuyết trình, sự trình diện, sự giới thiệu
preserve	bảo quản, giữ gìn
presidency	chức tổng thống
president	hiệu trưởng, chủ tịnh, tổng thống
presidential	tổng thống
press	sự ép, sự nén, sự ấn, ép, nén, bóp, ấn
pressure	sức ép, áp lực, áp suất
presumably	có thể được, có lẽ
pretend	giả vờ, giả bộ, làm ra vẻ
pretty	khá, vừa phải, xinh, xinh xắn,, đẹp
prevail	chiếm ưu thế
prevent	ngăn cản, ngăn chặn, ngăn ngừa
prevention	phòng ngừa
previous	vội vàng, hấp tấp, trước , ưu tiên
previously	trước, trước đây
price	sự kiêu hãnh, sự hãnh diện, tính kiêu căng, tự phụ
pride	tự hào
priest	linh mục, thầy tu
primarily	trước hết, đầu tiên
primary	nguyên thủy, đầu tiên, thời cổ đại, nguyên sinh, sơ cấp, tiểu học
prime	nguyên tố
prime minister	thủ tướng
prince	hoành tử
princess	công chúa
principal	hiệu trưởng
principle	cơ bản, chủ yếu, nguyên lý, nguyên tắc
print	in, xuất bản, sự in ra
printer	máy in, thợ in
printing	sự in, thuật in, kỹ sảo in
prior	trước, ưu tiên
priority	sự ưu tế, quyền ưu tiên
prison	nhà tù
prisoner	tù nhân
privacy	riêng tư
private	cá nhân, riêng
privately	riêng tư, cá nhân
privilege	đặc quyền
prize	giải, giải thưởng
pro	pro
probable	có thể, có khả năng
probably	hầu như chắc chắn
problem	vấn đề, điều khó giải quyết
procedure	thủ tục
proceed	tiến lên, theo duổi, tiếp diễn
process	quá trình, sự tiến triển, quy trình, chế biến, gia công, xử lý
processing	chế biến
processor	bộ vi xử lý
proclaim	tuyên bố
produce	sản xuất, chế tạo
producer	nhà sản xuất
product	sản phẩm
production	sự sản xuất, chế tạo
productive	có năng suất
productivity	năng suất
profession	nghề, nghề nghiệp
professional	nghề, nghề nghiệp, chuyên nghiệp
professor	giáo sư, giảng viên
profile	hồ sơ
profit	thuận lợi, lợi ích, lợi nhuận
profound	thâm thúy
program	chương trình, lên chương trình
programme	chương trình
programming	lập trình
progress	sự tiến tới, sự tiến triển, tiến bộ, tiến triển, phát triển
progressive	cấp tiến
prohibit	cấm
project	đề án, dự án, kế hoạch, dự kiến, kế hoạch
projection	chiếu
prominent	nổi bật
promise	hứa, lời hứa
promising	hứa hẹn
promote	thăng chức, thăng cấp
promotion	sự thăng chức, sự thăng cấp
prompt	mau lẹ, nhanh chóng, xúi, giục, nhắc nhở
promptly	mau lẹ, ngay lập tức
pronounce	tuyên bố, thông báo, phát âm
pronunciation	sự phát âm
proof	chứng, chứng cớ, bằng chứng, sự kiểm chứng
proper	đúng, thích đáng, thích hợp
properly	một cách đúng đắn, một cách thích đáng
property	tài sản, của cải, đất đai, nhà cửa, bất động sản
proportion	sự cân xứng, sự cân đối
proposal	sự đề nghị, đề xuất
propose	đề nghị, đề xuất, đưa ra
proposed	đề xuất
prosecution	truy tố
prosecutor	công tố viên
prospect	viễn cảnh, toàn cảnh, triển vọng, mong chờ
protect	bảo vệ, che chở
protection	sự bảo vệ, sự che chở
protective	bảo vệ
protein	chất đạm
protest	sự phản đối, sự phản kháng, phản đối, phản kháng
protocol	giao thức
proud	tự hào, kiêu hãnh
proudly	một cách tự hào, một cách hãnh diện
prove	chứng tỏ, chứng minh
provide	chuẩn bị đầy đủ, dự phòng, cung cấp, chu cấp
provided	với điều kiện là, miễn là
provider	các nhà cung cấp
province	tỉnh
provision	điều khoản
provoke	kích động
psychological	tâm lý
psychologist	nhà tâm lý học
psychology	tâm lý học
public	chung, công cộng, công chúng, nhân dân
publication	sự công bố, sự xuất bản
publicity	sự công khai, sự quảng cáo
publicly	công khai, công cộng
publicyhouse	quán rượu, tiệm rượu
publish	công bố, ban bố, xuất bản
publisher	nhà xuất bản
publishing	công việc, nghề xuất bản
pull	lôi, kéo, giật, sự lôi kéo, sự giật
pulse	xung
pump	máy bơm
punch	đấm, thụi, quả đấm, cú thụi
punish	phạt, trừng phạt
punishment	sự trừng phạt, sự trừng trị
pupil	học sinh
purchase	sự mua, sự tậu, mua, sắm, tậu
pure	nguyên chất, tinh khiết, trong lành
purely	hoàn toàn, chỉ là
purple	tía, có màu tía, màu tía
purpose	mục đích, ý định
purse	cái ví
pursue	đuổi theo, đuổi bắt
pursuit	theo đuổi
push	xô đẩy, sự xô đẩy
put	đặt, để, cho vào
put  out	tắt, dập tắt
puzzle	câu đố
qualification	phẩm chất, năng lực, khả năng chuyên môn
qualified	đủ tư cách, điều kiện, khả năng
qualify	đủ khả năng, đủ tư cách, điều kiện
quality	chất lượng, phẩm chất
quantity	lượng, số lượng
quarter	4, 15 phút
quarterback	tiền vệ
queen	nữ hoàng
quest	nhiệm vụ
question	câu hỏi, hỏi, chất vấn
questionnaire	bảng câu hỏi
quick	nhanh
quickly	nhanh
quiet	lặng, yên lặng, yên tĩnh
quietly	lặng, yên lặng, yên tĩnh
quit	thoát, thoát ra
quite	hoàn toàn, hầu hết
quote	trích dẫn
rabbit	con thỏ
race	loài, chủng, giống, cuộc đua, đua
racial	chủng tộc
racing	cuộc đua
racism	chủ nghĩa phân biệt chủng tộc
rack	giá đỡ
radar	radar
radiation	sự bức xạ
radical	cấp tiến, căn nguyên
radio	sóng vô tuyến, radio
rage	giận dữ
rail	đường ray
railroad	đường sắt
railway	đường sắt
rain	mưa, cơn mưa, mưa
raise	nâng lên, đưa lên, ngẩng lên
rally	biểu tình
ranch	trang trại
random	ngẫu nhiên
range	dãy, hàng, loại, phạm vi, trình độ
rank	hàng, dãy, sắp xếp thành hàng, dãy
rape	hãm hiếp
rapid	nhanh, nhanh chóng
rapidly	nhanh, nhanh chóng
rare	hiếm, ít
rarely	hiếm khi, ít khi
rat	con chuột
rate	tỷ lệ, tốc độ
rather	thà.. còn hơn, thích... hơn
rather than	hơn là
rating	Xêp hạng
ratio	tỉ lệ
rational	hợp lý
raw	sống , thô, còn nguyên chất
re	lại
reach	đến, đi đến, tới
react	tác động trở lại, phản ứng
reaction	sự phản ứng, sự phản tác dụng
read	đọc
reader	người đọc, độc giả
readily	dễ dàng
reading	sự đọc
ready	sẵn sàng
real	thực, thực tế, có thật
realistic	hiện thực
reality	sự thật, thực tế, thực tại
realize	thực hiện, thực hành
really	thực, thực ra, thực sự
realm	cảnh giới
rear	phía sau, ở đằng sau, ở đằng sau
reason	lý do, lý lẽ
reasonable	có lý, hợp lý
reasonably	hợp lý
rebel	nổi loạn
rebuild	xây dựng lại
